category,brand,name,price,avg_rating,num_ratings
Makeup,Tarte,Maneater Volumizing Mascara,$28.00,4.4,5861.0
Makeup,Charlotte Tilbury,Hollywood Flawless Filter,$50.00,4.5,629.0
Makeup,Charlotte Tilbury,Airbrush Flawless Foundation,$52.00,4.5,708.0
Makeup,Smashbox,The Original Photo Finish Smooth & Blur Oil-Free Primer,$16.00 - $55.00,4.6,5540.0
Makeup,Laura Mercier,Mini Ultra-Blur Talc-Free Longwearing Translucent Loose Setting Powder,$26.00,4.6,1898.0
Makeup,MAC,Prep + Prime Fix+ Primer and Setting Spray,$18.00 - $34.00,4.4,2973.0
Makeup,NARS,Blush,$36.00,4.5,1006.0
Makeup,MAC,Mineralize Skinfinish Natural Face Powder,$44.00,4.5,720.0
Makeup,NYX Professional Makeup,The Brow Glue Crazy Lift,$12.00,4.4,578.0
Makeup,Morphe,Buttery Blends 4-Piece Face Brush Set,$28.00,4.9,183.0
Makeup,Lancôme,Teint Idole Ultra Wear Care and Glow Foundation,$53.00,4.5,6763.0
Makeup,Morphe,ChromaPlus 12-Pan Eyeshadow Palette,$23.00,4.8,813.0
Makeup,MILK MAKEUP,Hydro Grip 12-Hour Hydrating Gel Skin Tint,$38.00,4.6,896.0
Makeup,Lancôme,Cils Booster XL Vitamin-Infused Lash Thickening Mascara Primer,$16.00 - $30.00,4.7,4487.0
Makeup,Rare Beauty,Soft Pinch Liquid Contour,$30.00,4.9,430.0
Makeup,Clinique,Beyond Perfecting Foundation + Concealer,$30.00,4.1,4681.0
Makeup,NYX Professional Makeup,Jelly Job Lip Gloss,$12.00,4.6,1278.0
Makeup,Lancôme,Lash Idôle Lash-Lifting Volumizing Mascara,$30.00,4.6,19044.0
Makeup,Rare Beauty,Positive Light Silky Touch Highlighter,$28.00,4.8,1064.0
Makeup,Estée Lauder,Double Wear Stay-in-Place 24-Hour Concealer,$38.00,4.6,797.0
Makeup,KYLIE COSMETICS,Glossy Lip Kit,$35.00,4.7,860.0
Makeup,Lancôme,Rénergie Lift Makeup Lightweight Liquid Foundation SPF 27,$63.00,4.3,1905.0
Makeup,ULTA Beauty Collection,Automatic Retractable Eyeliner,$9.50,4.1,6945.0
